#Insert size (bp)	insert size
355.0	425250.0
356.0	421587.0
357.0	419012.0
358.0	414411.0
359.0	411583.0
360.0	408261.0
361.0	405295.0
362.0	401051.0
363.0	398965.0
364.0	393718.0
365.0	392772.0
366.0	389990.0
367.0	385929.0
368.0	383513.0
369.0	381689.0
370.0	377080.0
371.0	375418.0
372.0	370900.0
373.0	369235.0
374.0	365974.0
375.0	363088.0
376.0	360036.0
377.0	357385.0
378.0	354864.0
379.0	351111.0
380.0	349066.0
381.0	346378.0
382.0	344393.0
383.0	340064.0
384.0	338712.0
385.0	335491.0
386.0	333488.0
387.0	331111.0
388.0	327268.0
389.0	324907.0
390.0	322823.0
391.0	319402.0
392.0	316161.0
393.0	313609.0
394.0	311438.0
395.0	306969.0
396.0	301911.0
397.0	297409.0
398.0	293971.0
399.0	291309.0
400.0	290834.0
401.0	286981.0
402.0	285716.0
403.0	282758.0
404.0	280038.0
405.0	278296.0
406.0	276907.0
407.0	274348.0
408.0	271125.0
409.0	269260.0
410.0	269061.0
411.0	265887.0
412.0	262048.0
413.0	261092.0
414.0	258931.0
415.0	256569.0
416.0	255068.0
417.0	251855.0
418.0	251078.0
419.0	249033.0
420.0	247536.0
421.0	244524.0
422.0	242304.0
423.0	239903.0
424.0	238824.0
425.0	235811.0
426.0	233910.0
427.0	231901.0
428.0	231162.0
429.0	228022.0
430.0	226034.0
431.0	223573.0
432.0	223136.0
433.0	220708.0
434.0	218704.0
435.0	216357.0
436.0	214944.0
437.0	212360.0
438.0	211878.0
439.0	209540.0
440.0	207435.0
441.0	205976.0
442.0	203949.0
443.0	201491.0
444.0	200438.0
445.0	198708.0
446.0	195875.0
447.0	194735.0
448.0	193918.0
449.0	193320.0
450.0	190817.0
451.0	188041.0
452.0	187696.0
453.0	185653.0
454.0	183843.0
455.0	181743.0
456.0	181848.0
457.0	180404.0
458.0	177555.0
459.0	176327.0
460.0	174495.0
461.0	172878.0
462.0	171152.0
463.0	169299.0
464.0	168162.0
465.0	166841.0
466.0	164458.0
467.0	163941.0
468.0	162300.0
469.0	160338.0
470.0	158106.0
471.0	156206.0
472.0	153116.0
473.0	150673.0
474.0	148259.0
475.0	147060.0
476.0	145416.0
477.0	144153.0
478.0	142687.0
479.0	141749.0
480.0	139591.0
481.0	139132.0
482.0	138307.0
483.0	136929.0
484.0	135790.0
485.0	134478.0
486.0	133177.0
487.0	132148.0
