#Read position (bp)	Clipping profile
0.0	14.870463490557992
1.0	1.4540507358802932
2.0	1.3847926049420538
3.0	1.3050326406083577
4.0	1.2203202747967135
5.0	1.1320753990613333
6.0	1.0903478108906006
7.0	1.0465028605833862
8.0	1.0020679498739045
9.0	0.9587101935559138
10.0	0.9156717748578607
11.0	0.8836408112545947
12.0	0.8513690558650623
13.0	0.8197714171281595
14.0	0.7888043344915305
15.0	0.7582954814977947
16.0	0.7320896356533322
17.0	0.7062454564262793
18.0	0.6810489382284359
19.0	0.656743107890116
20.0	0.6330863069753204
21.0	0.6116287894033209
22.0	0.5907092332496251
23.0	0.5702958461529853
24.0	0.550497278621999
25.0	0.5312150974922861
26.0	0.513331734644337
27.0	0.49584570789227106
28.0	0.4789101861730615
29.0	0.46249529287750135
30.0	0.8556694174519937
31.0	0.8315341346584454
32.0	0.795889515348574
33.0	0.7649452848970029
34.0	0.7316236973891322
35.0	0.8176519567870617
36.0	0.7776448964015097
37.0	0.7619287964693897
38.0	0.7238767154282927
39.0	0.6965024432915399
40.0	0.7065093740764664
41.0	0.6810379454607736
42.0	0.6549469991256129
43.0	0.6346507465823227
44.0	0.6135279838728745
45.0	0.6128464322778011
46.0	0.5940321051643289
47.0	0.5800472064930453
48.0	0.5593903820477971
49.0	0.5435918591647805
50.0	0.5358601119939794
51.0	0.5217216794805718
52.0	0.5033617048927672
53.0	0.49432665336337733
54.0	0.47980310907663254
55.0	0.47609895689267306
56.0	0.4642151820786684
57.0	0.45084583278333956
58.0	0.44012952638560476
59.0	0.42883115065948474
60.0	0.4195270728077991
61.0	0.40785676750690814
62.0	0.39672834635469006
63.0	0.3855715538270112
64.0	0.3733977250314062
65.0	0.36574023605875666
66.0	0.35441768536640794
67.0	0.34697959561556957
68.0	0.334052511362794
69.0	0.3259458697628731
70.0	0.31640492285529037
71.0	0.30716821561703833
72.0	0.2957847257645358
73.0	0.2844676486494464
74.0	0.27467459789592796
75.0	0.2641838484944211
76.0	0.25079342592664383
77.0	0.23653708343644164
78.0	0.22188208206918536
79.0	0.2103122169110029
80.0	0.20143722190330451
81.0	0.19578142013438946
82.0	0.1910886942842524
83.0	0.18919588565483453
84.0	0.18646730739106182
85.0	0.18647218799745138
86.0	0.18644696392891466
87.0	0.1880078913238422
88.0	0.18926758951693165
89.0	0.19197103493845533
90.0	0.19414691873846784
91.0	0.1978507516304205
92.0	0.20085004390281058
93.0	0.20481031388936252
94.0	0.2086052818426829
95.0	0.21342841567102339
96.0	0.21793266801086444
97.0	0.22333289933491288
98.0	0.22877938238680262
99.0	0.23443085090705404
100.0	0.24047833274201744
101.0	0.24703846070046037
102.0	0.2533714352026413
103.0	0.2602376273561681
104.0	0.26750416607307054
105.0	0.27488793056961014
106.0	0.2830859352966179
107.0	0.2914725503733532
108.0	0.30031493198321485
109.0	0.309590775298871
110.0	0.31935007232595697
111.0	0.3297703038071062
112.0	0.3405716331049359
113.0	0.3517969821877877
114.0	0.3635502121841575
115.0	0.3756382882693664
116.0	0.3885771407132495
117.0	0.401929385079643
118.0	0.41581689968885444
119.0	0.43017222270116273
120.0	0.4450159256444342
121.0	0.46081043457079396
122.0	0.4772610885711151
123.0	0.4942531249755271
124.0	0.5118017329609247
125.0	0.5297650556500038
126.0	0.5490454122539635
127.0	0.5688497270410721
128.0	0.5892875627828035
129.0	0.6102748088419395
130.0	0.6317876095442583
131.0	0.6554691783961524
132.0	0.6798041099202343
133.0	0.7050612935993685
134.0	0.7310101093783621
135.0	0.7572058747180388
136.0	0.7877927718008638
137.0	0.8188274531166453
138.0	0.850415604319632
139.0	0.882804220583651
140.0	0.9149436522429394
141.0	0.9580618483295469
142.0	1.001385622855386
143.0	1.045929503365472
144.0	1.0898823743709827
145.0	1.1316166676738582
146.0	1.2195903732691826
147.0	1.3040424704821463
148.0	1.3833391421139845
149.0	1.452124903334744
150.0	1.4855539554094728
