#Position (bp)	Coverage	Std
2604760.5	29.536794560727284	30.771972652621336
7814280.5	31.651812643007418	29.363902741076686
1.30238005E7	32.21275434205071	23.871571697378048
1.82333205E7	31.932586495492867	26.218454558025186
2.34428405E7	30.228972342941383	56.956491139618066
2.86523605E7	33.048424422979465	24.377689669770838
3.38618805E7	34.19338921820052	23.334909156502402
3.90714005E7	33.49748978792672	23.748301962881055
4.42809205E7	32.16563867688386	22.368929726456344
4.94904405E7	35.28515141510158	22.060245651868787
5.46999605E7	37.59029622690766	22.518277984148035
5.99094805E7	32.563649242156664	24.693667950840197
6.51190005E7	35.759623727329966	32.238086309076266
7.03285205E7	37.21599149249835	29.81566211839794
7.55380405E7	33.383296925628464	21.721273546664165
8.07475605E7	33.235137018381735	22.564507632032537
8.59570805E7	33.48752092323285	22.077685130707483
9.11666005E7	36.457869630983275	28.510837861122848
9.63761205E7	36.257132710883155	24.077873011006677
1.015856405E8	40.04589040832936	36.34049892938266
1.067951605E8	32.8403346181606	24.137236208352896
1.120046805E8	33.64437990448256	26.37552966023967
1.172142005E8	32.19582456733058	27.249423801077842
1.224237205E8	36.26545766212626	23.02476547889664
1.276332405E8	35.80328686712019	26.071743218829617
1.328427605E8	32.96886642147453	23.172720828468613
1.380522805E8	34.64425206161028	25.07391607418473
1.432618005E8	34.115220020270584	24.83448410036607
1.484713205E8	40.06303095102812	19.68796661181348
1.536808405E8	35.943993880434284	27.937807751220085
1.588903605E8	37.117231721924476	22.32503285158162
1.640998805E8	31.02144746540948	28.379747455018894
1.693094005E8	35.93902720404183	26.25609318027638
1.745189205E8	36.73431717317526	23.220195244955843
1.797284405E8	36.09340860578326	24.01141170627536
1.849379605E8	37.20491158494448	25.93790809973984
1.901474805E8	37.3153242525223	25.92374071947477
1.953570005E8	30.028290130376696	24.992758476076478
2.005665205E8	29.066405542161274	26.614390174675165
2.057760405E8	30.558521514458146	26.19800235588577
2.109855605E8	32.83599429505981	33.11175740139935
2.161950805E8	30.65131931540718	26.29984812493266
2.214046005E8	27.936171086779588	26.831791692260364
2.266141205E8	30.566643759885746	26.714497390101794
2.318236405E8	27.67360275034936	27.34968375040099
2.370331605E8	30.09362494049356	25.410109695433206
2.422426805E8	28.664223575300603	28.319022611757322
2.474522005E8	33.794871696432686	38.23555543174207
2.526617205E8	26.803300496014987	26.20996917700565
2.578712405E8	22.902789892350928	28.253179082317406
2.630807605E8	26.978387644159156	28.262294746176995
2.682902805E8	38.487734954467975	31.70947102189693
2.734998005E8	32.55023149925521	27.322646003559402
2.787093205E8	32.0121314439718	25.70108516560698
2.839188405E8	35.49368521476067	25.896250195694485
2.891283605E8	35.414901372871206	25.590773634642648
2.943378805E8	35.509596277584116	27.772475914586114
2.995474005E8	32.72212334341744	26.194759096168998
3.047569205E8	35.05394354950168	23.431276614280648
3.099664405E8	38.374801709178584	24.042481926142223
3.151759605E8	37.50164602496967	25.853529659482565
3.203854805E8	35.38536851763694	26.032942631730766
3.255950005E8	32.32721363964434	34.24118578101768
3.308045205E8	32.14207854082526	23.47016437120582
3.360140405E8	33.73673543819776	25.340134283762715
3.412235605E8	31.48186915493174	25.196323789190945
3.464330805E8	31.21741081711943	24.967421600704114
3.516426005E8	39.472066716319354	25.812293842099134
3.568521205E8	35.24304331301156	25.40373928143166
3.620616405E8	19.31878771940601	24.276496260086862
3.672711605E8	32.53856881248176	29.28831554670538
3.724806805E8	31.37582118890032	27.011073655389787
3.776902005E8	33.4367699903254	25.309490253253994
3.828997205E8	31.199816873723492	24.929957875658765
3.881092405E8	35.967760753389946	31.000969385652546
3.933187605E8	33.92251013529078	24.5704047679427
3.985282805E8	24.821228443311476	25.51389120770142
4.037378005E8	39.56800012285201	20.922320932964094
4.089473205E8	32.29077208648781	22.68910943881767
4.141568405E8	30.66069580306823	24.47698607284997
4.193663605E8	30.77705815506995	24.355301451209996
4.245758805E8	32.55588288364379	24.836905800293305
4.297854005E8	31.672359257666734	26.417090764691906
4.349949205E8	32.31273245903653	26.46037511067076
4.402044405E8	29.789473310400957	26.386167959080318
4.454139605E8	34.0512333190006	24.476703002809508
4.506234805E8	27.977156628633733	24.957405328461665
4.558330005E8	26.531110351817443	25.228243574768378
4.610425205E8	32.46100216526666	29.582792636079258
4.64330184E8	38.906648596763674	67.71910610109212
4.66934944E8	29.71613619435166	29.9279948856785
4.714615605E8	32.87048710821726	23.587423919736043
4.766710805E8	32.23581999877148	25.010576092598672
4.818806005E8	34.68064812113208	25.82110100685171
4.870901205E8	33.41407960810209	26.98042545508453
4.922996405E8	35.056791220688275	27.714265527914442
4.975091605E8	33.78157949292833	26.155510178454165
5.027186805E8	30.91994924676362	26.788240360916557
5.079282005E8	28.69458011486663	26.79980780739837
5.131377205E8	18.545016623412522	25.02657919238828
5.183472405E8	31.60373316543559	28.26547210951219
5.235567605E8	35.34702429398486	26.812517453472264
5.287662805E8	37.98182730846604	23.955931416199622
5.339758005E8	31.698847110674304	24.536465343160387
5.391853205E8	27.181772792886868	22.75352687024782
5.443948405E8	30.406776440055896	25.402126524911097
5.496043605E8	29.942433276002397	27.49283121625988
5.548138805E8	31.036694935425913	21.129208694365772
5.600234005E8	34.69334929129747	22.20767041538433
