#Position (bp)	mapping quality
2604760.5	39.48801129028092
7814280.5	39.16923047430356
1.30238005E7	40.45701822554998
1.82333205E7	35.72926184854311
2.34428405E7	34.47164987084327
2.86523605E7	36.92206692584689
3.38618805E7	37.997984041476855
3.90714005E7	36.892213454422844
4.42809205E7	36.57885588197876
4.94904405E7	38.004101318265214
5.46999605E7	39.29524500657212
5.99094805E7	35.47198110418861
6.51190005E7	36.050418970696164
7.03285205E7	39.055960566265334
7.55380405E7	36.52646719726733
8.07475605E7	36.85768884420343
8.59570805E7	38.46385159266422
9.11666005E7	38.37651844184892
9.63761205E7	37.807332475875
1.015856405E8	37.675128486205004
1.067951605E8	36.67719966837029
1.120046805E8	35.49826387777515
1.172142005E8	34.482833301113885
1.224237205E8	40.15006581928665
1.276332405E8	36.799954292868314
1.328427605E8	38.685640343372135
1.380522805E8	37.54286065634646
1.432618005E8	37.068986324018816
1.484713205E8	42.045625534376995
1.536808405E8	38.2210179649017
1.588903605E8	39.04346562007809
1.640998805E8	35.59675358070061
1.693094005E8	38.66824508410815
1.745189205E8	38.46236388017735
1.797284405E8	37.9958404256221
1.849379605E8	39.56457309808154
1.901474805E8	38.646353869891094
1.953570005E8	37.643242584054114
2.005665205E8	35.31651527752361
2.057760405E8	36.67349825540312
2.109855605E8	33.71284295373975
2.161950805E8	35.15949854439223
2.214046005E8	32.160501719590805
2.266141205E8	34.78128751824114
2.318236405E8	32.60594776637881
2.370331605E8	37.059744245675034
2.422426805E8	33.79150000261842
2.474522005E8	37.08960789880166
2.526617205E8	33.523646908993065
2.578712405E8	32.50782460070292
2.630807605E8	35.00166899511151
2.682902805E8	38.11628094644646
2.734998005E8	34.72577136707779
2.787093205E8	36.493794801766306
2.839188405E8	37.09271635249923
2.891283605E8	35.9718553932817
2.943378805E8	35.72330995912642
2.995474005E8	37.02848985228516
3.047569205E8	37.71294852065737
3.099664405E8	38.37613907123411
3.151759605E8	36.54067627318682
3.203854805E8	38.10661885811108
3.255950005E8	36.88137110579177
3.308045205E8	36.439998671562215
3.360140405E8	36.96714163426849
3.412235605E8	37.32847868503766
3.464330805E8	37.43033631915876
3.516426005E8	39.47075834136509
3.568521205E8	35.73686948295604
3.620616405E8	27.92164068200379
3.672711605E8	35.38132993373708
3.724806805E8	37.76243569954631
3.776902005E8	34.985681963120605
3.828997205E8	35.54423791592845
3.881092405E8	36.40259882054878
3.933187605E8	36.164734630057
3.985282805E8	31.542821575366954
4.037378005E8	40.914450553719696
4.089473205E8	38.19476756854647
4.141568405E8	36.99744323313427
4.193663605E8	36.61436685487829
4.245758805E8	36.904192606764546
4.297854005E8	34.76848107340396
4.349949205E8	37.169436403114844
4.402044405E8	34.7304349499784
4.454139605E8	39.06203869415141
4.506234805E8	38.430111106424924
4.558330005E8	38.089238903196375
4.610425205E8	40.525013524042635
4.64330184E8	38.95658354180085
4.66934944E8	40.43557079114282
4.714615605E8	44.361739951761116
4.766710805E8	40.005563332823584
4.818806005E8	38.75372294929865
4.870901205E8	38.007754861806184
4.922996405E8	40.21669279841589
4.975091605E8	36.38032461525564
5.027186805E8	33.91556907173237
5.079282005E8	32.546478763830926
5.131377205E8	26.210726220772692
5.183472405E8	32.52836917551404
5.235567605E8	33.56949062900321
5.287662805E8	38.81005528918455
5.339758005E8	36.84046869600844
5.391853205E8	34.30897858392958
5.443948405E8	37.16687589024342
5.496043605E8	34.12946615845343
5.548138805E8	38.20917853619036
5.600234005E8	38.0715909652314
5.652329205E8	37.126032903272126
5.704424405E8	38.1559534618764
5.756519605E8	39.430948518815214
5.808614805E8	34.3654492227572
5.860710005E8	37.65320237674482
5.912805205E8	29.567385993079053
5.964900405E8	36.42395667867129
6.016995605E8	38.05493086237284
6.069090805E8	37.243078358867166
6.121186005E8	36.689747792437245
6.173281205E8	35.39052548506004
6.225376405E8	33.42775554790603
6.277471605E8	34.722413221370786
6.329566805E8	35.7197436988132
6.381662005E8	35.09902993534979
6.433757205E8	35.184236558490234
6.485852405E8	36.377299241966725
6.537947605E8	38.24939191285018
6.590042805E8	36.63637181735694
6.642138005E8	36.36322080562412
6.694233205E8	36.83641897369841
6.746328405E8	36.1936153081691
6.798423605E8	35.40896837833181
6.850518805E8	37.38298670212466
6.902614005E8	35.926064045274444
6.954709205E8	34.84808683214106
7.006804405E8	37.553750168702315
7.058899605E8	36.10795058495194
7.110994805E8	37.46562926521181
7.163090005E8	39.14664012834185
7.215185205E8	38.664384067766
7.267280405E8	37.81520489513315
7.319375605E8	34.4590326820633
7.371470805E8	37.30853630671903
7.423566005E8	33.21546755835978
7.475661205E8	36.20845639377769
7.527756405E8	35.12831155850846
7.579851605E8	36.890528993120036
7.631946805E8	38.98257305009487
7.684042005E8	37.44877779375472
7.736137205E8	38.506758378979036
7.788232405E8	37.53654353984361
7.840327605E8	37.21615037332662
7.892422805E8	41.55390214950712
7.93090927E8	39.12507375313903
7.95695687E8	40.81982376018733
7.996613205E8	36.781129754359846
8.048708405E8	37.86981234514823
8.100803605E8	38.704234093475854
8.152898805E8	38.339752670120916
8.204994005E8	40.34734954175769
8.257089205E8	37.192376813209655
8.309184405E8	41.22911660222277
8.361279605E8	38.74058086898287
8.413374805E8	38.4851720191428
8.465470005E8	33.06846363612914
8.517565205E8	37.90983394059463
8.569660405E8	28.463530489275197
8.621755605E8	37.10523553403407
8.673850805E8	35.211980205255976
8.725946005E8	35.93150560122791
8.778041205E8	32.39764447499544
8.830136405E8	34.717293860452834
8.882231605E8	32.576052876027674
8.934326805E8	36.04833299383604
8.986422005E8	37.166983459834654
9.038517205E8	35.680273163995636
9.090612405E8	37.754383385862944
9.142707605E8	33.64525100574839
9.194802805E8	31.323394730699746
9.246898005E8	38.673834881071855
9.298993205E8	39.06426783623233
9.351088405E8	33.827760687543375
9.403183605E8	33.20166677752197
9.455278805E8	39.920415032470906
9.507374005E8	42.32600912465923
9.559469205E8	41.49280155487835
9.611564405E8	39.68830731722816
9.663659605E8	40.5601718911866
9.715754805E8	39.324013836718755
9.767850005E8	39.3467021259298
9.819945205E8	41.175096003064816
9.872040405E8	39.76302318355073
9.924135605E8	39.96661233135155
9.976230805E8	34.78243496102719
1.0028326005E9	37.33519765999418
1.0080421205E9	32.10132924577863
1.0132516405E9	38.095210256989496
1.015976029E9	18.86085422795585
1.018580789E9	38.879707862107246
1.0236706805E9	39.51081219523996
1.0288802005E9	38.52197780594702
1.0340897205E9	36.25884547072007
1.0392992405E9	38.219912952883504
1.0445087605E9	36.56364874118356
1.0497182805E9	38.19947553121721
1.0549278005E9	35.47336671909727
1.0601373205E9	37.18198974439752
1.0653468405E9	37.25968719136728
1.0705563605E9	36.6304028833217
1.0757658805E9	37.50649782035042
1.0809754005E9	38.39797138067703
1.0861849205E9	33.804017491826826
1.0913944405E9	36.87958422931487
1.0966039605E9	38.767550989282775
1.1018134805E9	31.481188877660014
1.1070230005E9	38.10576834480478
1.1122325205E9	36.472590777216105
1.1174420405E9	34.610770703116785
1.1226515605E9	36.42798703029655
1.1278610805E9	34.68954451430123
1.1330706005E9	30.076054014058617
1.1382801205E9	36.110844728393616
1.1434896405E9	36.99716285584527
1.1486991605E9	38.55554092916479
1.1539086805E9	39.700111160053574
1.1591182005E9	38.529532881831415
1.1643277205E9	41.61154578006755
1.1695372405E9	40.41009933715146
1.1747467605E9	42.23771113290584
1.1799562805E9	39.90838696335711
1.1851658005E9	42.75943313249715
1.1903753205E9	45.180731465483326
1.194137444E9	39.06371800737876
1.196742204E9	14.664655738836688
1.199487392E9	31.74965899510642
1.202092152E9	30.249447152121423
1.2043644265E9	11.473982868027194
1.2069691865E9	15.59255401525978
1.2088051865E9	7.863975637474074
1.2105562365E9	32.828553655517496
1.2129644505E9	35.12766496811888
1.213948815E9	36.47615490927001
1.2148954695E9	18.542489170667324
1.216457445E9	33.89502178719274
1.217911186E9	31.01828682344826
1.218823316E9	2.187279593577675
1.219507816E9	1.1902791220535975
1.2206494515E9	9.646895347550537
1.2219224515E9	1.7855381040100113
1.223072692E9	1.314980703013296
1.2239243165E9	2.24495563193857
1.2244053165E9	11.991684216631779
1.2250439325E9	3.8783509572842854
1.2259315325E9	2.87349275300786
1.2267506325E9	4.476246322438968
1.2274637485E9	0.22690833365170135
1.2280810585E9	35.216181113466796
1.2286817535E9	23.406816772829103
1.2292114875E9	21.37641925742774
1.2294984875E9	11.4484815343331
1.2297502545E9	5.576922636891151
1.2301495315E9	0.022041213798077136
1.2305316745E9	4.083854891052388
1.2308896405E9	7.021139240583691
1.2312339075E9	39.36969817399848
1.2315715745E9	10.475017435513783
1.2319060745E9	3.2062078899698703
1.2322360745E9	6.60573620917
1.2325600745E9	10.753031037500236
1.2328796705E9	0.06779935048634264
1.2331988665E9	3.0845189423239403
1.233510837E9	4.296903307747774
1.2338121355E9	6.485106783281261
1.2341094015E9	0.4361463887220818
1.2343962395E9	5.5140959692353535
1.23459549E9	14.33127735604982
1.2347282085E9	3.559421737549383
1.23493034E9	0.016519765508512804
1.2351851035E9	3.4168879321657215
1.2354287035E9	2.1594169368467435
1.235663826E9	7.361448301963718
1.235894999E9	2.8902530300891263
1.236123212E9	0.07300820544401948
1.2363451615E9	0.040991526416403176
1.236559101E9	11.225008979033955
1.2367647535E9	1.1708645242490552
