#Insert size (bp)	insert size
355.0	450834.0
356.0	449198.0
357.0	446539.0
358.0	441167.0
359.0	438902.0
360.0	436279.0
361.0	432697.0
362.0	428852.0
363.0	424725.0
364.0	422287.0
365.0	418603.0
366.0	415636.0
367.0	414062.0
368.0	409953.0
369.0	407939.0
370.0	403894.0
371.0	401688.0
372.0	397538.0
373.0	393895.0
374.0	392528.0
375.0	389432.0
376.0	387146.0
377.0	382912.0
378.0	379672.0
379.0	376645.0
380.0	374132.0
381.0	371310.0
382.0	369160.0
383.0	366299.0
384.0	363064.0
385.0	360790.0
386.0	357347.0
387.0	354987.0
388.0	352746.0
389.0	349402.0
390.0	347540.0
391.0	344800.0
392.0	341163.0
393.0	340124.0
394.0	336547.0
395.0	333158.0
396.0	331142.0
397.0	329005.0
398.0	327914.0
399.0	324649.0
400.0	321462.0
401.0	318169.0
402.0	316709.0
403.0	314198.0
404.0	311027.0
405.0	308472.0
406.0	305029.0
407.0	303209.0
408.0	300392.0
409.0	296234.0
410.0	290341.0
411.0	285971.0
412.0	283887.0
413.0	281705.0
414.0	281078.0
415.0	278225.0
416.0	274780.0
417.0	273633.0
418.0	271048.0
419.0	269544.0
420.0	265846.0
421.0	266132.0
422.0	263270.0
423.0	260286.0
424.0	258294.0
425.0	256990.0
426.0	254773.0
427.0	253015.0
428.0	252035.0
429.0	248500.0
430.0	247201.0
431.0	244381.0
432.0	242691.0
433.0	241015.0
434.0	238302.0
435.0	236837.0
436.0	234595.0
437.0	232559.0
438.0	231498.0
439.0	228802.0
440.0	227896.0
441.0	224824.0
442.0	223665.0
443.0	220886.0
444.0	220156.0
445.0	217630.0
446.0	215909.0
447.0	214533.0
448.0	212345.0
449.0	210472.0
450.0	208688.0
451.0	207090.0
452.0	204792.0
453.0	203843.0
454.0	202575.0
455.0	199616.0
456.0	198107.0
457.0	197324.0
458.0	194902.0
459.0	193665.0
460.0	192128.0
461.0	190700.0
462.0	189092.0
463.0	187235.0
464.0	185924.0
465.0	183795.0
466.0	182096.0
467.0	180981.0
468.0	180774.0
469.0	177725.0
470.0	175827.0
471.0	174985.0
472.0	174598.0
473.0	172652.0
474.0	170854.0
475.0	169986.0
476.0	168816.0
477.0	167172.0
478.0	164517.0
479.0	162029.0
480.0	162024.0
481.0	160623.0
482.0	158062.0
483.0	157353.0
484.0	155561.0
485.0	153830.0
486.0	152016.0
487.0	149362.0
488.0	147608.0
489.0	145004.0
490.0	142404.0
491.0	140920.0
492.0	140281.0
493.0	138831.0
494.0	137948.0
495.0	136494.0
496.0	134539.0
497.0	134483.0
498.0	132797.0
499.0	131766.0
500.0	130522.0
501.0	129307.0
502.0	127900.0
503.0	127588.0
504.0	127159.0
505.0	125111.0
506.0	124596.0
507.0	123127.0
508.0	122249.0
509.0	121214.0
510.0	120039.0
511.0	118724.0
512.0	117820.0
513.0	116814.0
514.0	116079.0
515.0	114389.0
516.0	113379.0
517.0	112882.0
518.0	112033.0
519.0	111025.0
520.0	110250.0
521.0	109310.0
522.0	107794.0
523.0	107408.0
524.0	106259.0
525.0	105550.0
526.0	104671.0
527.0	103566.0
528.0	103086.0
529.0	101592.0
530.0	101044.0
531.0	100126.0
532.0	99563.0
533.0	98671.0
534.0	97397.0
535.0	96766.0
536.0	96146.0
537.0	94518.0
538.0	93925.0
539.0	93179.0
540.0	91875.0
541.0	91459.0
542.0	90490.0
543.0	89614.0
544.0	88600.0
545.0	88263.0
546.0	86917.0
547.0	85456.0
548.0	85004.0
549.0	83700.0
550.0	82154.0
551.0	81205.0
552.0	80328.0
553.0	79148.0
554.0	78417.0
555.0	77488.0
556.0	77380.0
557.0	76536.0
558.0	76105.0
559.0	74989.0
560.0	74538.0
561.0	73994.0
562.0	73545.0
563.0	72481.0
564.0	72745.0
565.0	71126.0
566.0	71203.0
567.0	70280.0
568.0	69972.0
569.0	68916.0
570.0	68407.0
571.0	67772.0
572.0	67314.0
573.0	66575.0
574.0	65934.0
575.0	65263.0
576.0	65132.0
577.0	64382.0
578.0	63603.0
579.0	62943.0
580.0	62908.0
581.0	62202.0
582.0	61773.0
583.0	60747.0
584.0	60607.0
585.0	59972.0
586.0	59290.0
587.0	59010.0
588.0	58256.0
589.0	57246.0
590.0	56814.0
591.0	56792.0
592.0	55757.0
593.0	55708.0
594.0	55086.0
595.0	54029.0
596.0	53810.0
597.0	53880.0
598.0	52587.0
599.0	51971.0
600.0	50934.0
601.0	50324.0
602.0	49381.0
603.0	49117.0
604.0	48565.0
605.0	47980.0
606.0	47548.0
607.0	47131.0
608.0	46576.0
609.0	46196.0
610.0	45774.0
611.0	45634.0
612.0	44996.0
613.0	44872.0
614.0	44405.0
615.0	43360.0
616.0	43760.0
617.0	43060.0
618.0	42541.0
619.0	42586.0
620.0	41855.0
621.0	41584.0
622.0	41273.0
623.0	40930.0
624.0	40733.0
625.0	40061.0
626.0	39626.0
627.0	39517.0
628.0	39448.0
629.0	38788.0
630.0	38696.0
631.0	37629.0
632.0	37520.0
633.0	37120.0
634.0	36843.0
635.0	36588.0
636.0	36140.0
637.0	35642.0
638.0	35698.0
639.0	35045.0
640.0	34528.0
641.0	34131.0
642.0	33912.0
643.0	33314.0
644.0	33159.0
645.0	32450.0
646.0	32452.0
647.0	31772.0
648.0	30902.0
649.0	30762.0
650.0	30248.0
651.0	30367.0
652.0	30033.0
653.0	29460.0
654.0	29014.0
655.0	29034.0
656.0	28769.0
657.0	28706.0
658.0	28351.0
659.0	27723.0
660.0	28204.0
661.0	27385.0
662.0	26830.0
663.0	26876.0
664.0	26872.0
665.0	26481.0
666.0	26293.0
667.0	25879.0
668.0	25733.0
669.0	25691.0
670.0	25174.0
671.0	24831.0
672.0	24818.0
673.0	24574.0
674.0	24116.0
675.0	24081.0
676.0	24165.0
677.0	23832.0
678.0	23592.0
679.0	23116.0
680.0	22973.0
681.0	22549.0
682.0	22390.0
683.0	22023.0
684.0	21637.0
685.0	21808.0
686.0	21238.0
687.0	21037.0
688.0	20791.0
689.0	20285.0
690.0	20445.0
691.0	19767.0
692.0	19603.0
693.0	19433.0
694.0	19222.0
695.0	18874.0
696.0	18868.0
697.0	18643.0
698.0	18600.0
699.0	18155.0
700.0	18498.0
701.0	18081.0
702.0	17966.0
703.0	17946.0
704.0	17535.0
705.0	17448.0
706.0	16963.0
707.0	16903.0
708.0	16797.0
709.0	16335.0
710.0	16580.0
711.0	16349.0
712.0	16105.0
713.0	15808.0
714.0	15810.0
715.0	15486.0
716.0	15341.0
717.0	15224.0
718.0	14901.0
719.0	14858.0
720.0	14771.0
