#GC Content (%)	Sample
1.0	7.5558425401626594E-6
2.0	7.23913057740135E-6
3.0	6.077853380609884E-6
4.0	1.0119701286325636E-5
5.0	1.5383152476977867E-5
6.0	2.0435462359122563E-5
7.0	2.616644073289863E-5
8.0	3.513994634446905E-5
9.0	4.249972909816043E-5
10.0	5.863695767695094E-5
11.0	9.293233878738982E-5
12.0	1.550380465326789E-4
13.0	2.529925321581409E-4
14.0	3.8647908370101455E-4
15.0	5.428292226508474E-4
16.0	6.969472963393149E-4
17.0	8.701434954036421E-4
18.0	0.0010762324940290367
19.0	0.001337112662212138
20.0	0.0016566750326382988
21.0	0.0020407863173796214
22.0	0.0025292466530897778
23.0	0.0031565776437097494
24.0	0.004004551301720101
25.0	0.005569696577120382
26.0	0.0055363965764643345
27.0	0.007310239953802282
28.0	0.008605184680401057
29.0	0.010088045171571542
30.0	0.012168254587553929
31.0	0.014887392684602168
32.0	0.018436225634952813
33.0	0.022333275847598505
34.0	0.026927122541363147
35.0	0.03197011204288943
36.0	0.03755077288653018
37.0	0.04229627936589137
38.0	0.045355023176151955
39.0	0.04787449700296224
40.0	0.04975042720296358
41.0	0.05025529623464918
42.0	0.049553462525170115
43.0	0.04837742051830516
44.0	0.04637189479944629
45.0	0.043666284827664575
46.0	0.04164591889112205
47.0	0.04035685595811741
48.0	0.039270971289985156
49.0	0.03683761295400189
50.0	0.03273684154169049
51.0	0.03091013742961548
52.0	0.021739455998943086
53.0	0.0207055120927037
54.0	0.017169784985002556
55.0	0.014127645930503894
56.0	0.011618563272376587
57.0	0.009478480213910276
58.0	0.007655516319300253
59.0	0.006140109903575535
60.0	0.004992692625535385
61.0	0.003931481327454456
62.0	0.0030738404138188663
63.0	0.0024182466509029567
64.0	0.001966404250696823
65.0	0.0016045683740030453
66.0	0.0013439445916945604
67.0	0.00115993494133024
68.0	0.0010390263791656012
69.0	9.036848004122685E-4
70.0	7.340176775044243E-4
71.0	5.335239235544794E-4
72.0	3.5032867538011654E-4
73.0	2.777413098196318E-4
74.0	2.1461005857587753E-4
75.0	1.2695625250117617E-4
76.0	8.009796353453868E-5
77.0	5.246861516412354E-5
78.0	3.9408017080728595E-5
79.0	2.473369613945461E-5
80.0	1.3437636134301255E-5
81.0	8.083695811431507E-6
82.0	7.993206679213992E-6
83.0	7.736820804597693E-6
84.0	8.792527347135388E-6
85.0	1.2623233944343602E-5
86.0	1.566970139566667E-5
87.0	1.9349592772512357E-5
88.0	1.9394837338621116E-5
89.0	1.764538078241579E-5
90.0	1.619755466693552E-5
91.0	1.8836821023279762E-5
92.0	1.886698406735227E-5
93.0	2.0676766711702604E-5
94.0	2.7237228797472576E-5
95.0	3.028369624879565E-5
96.0	3.8895245331495996E-5
97.0	4.5651767203737254E-5
98.0	5.6600952202056814E-5
99.0	1.4623043766350728E-4
100.0	2.77575413077233E-4
