#Position (bp)	Coverage	Std
2604760.5	33.66262803482854	35.14653002892193
7814280.5	36.051274205684976	33.3031132674863
1.30238005E7	37.63916771602758	29.580178138744902
1.82333205E7	37.02885313810101	32.233725516983746
2.34428405E7	36.73610044687418	52.37218566825059
2.86523605E7	37.8987770466377	30.88799219963521
3.38618805E7	38.0500222669267	28.949713228518384
3.90714005E7	39.7399927440532	29.652920186876518
4.42809205E7	37.03667228458668	29.393380305021346
4.94904405E7	36.16998091954729	28.307644355640623
5.46999605E7	42.83124779250296	27.214801979757297
5.99094805E7	34.66269829082142	32.24285201542898
6.51190005E7	40.243371558224176	36.21174263248079
7.03285205E7	41.951197039266575	28.320868150762085
7.55380405E7	41.56035277722324	26.713821296922518
8.07475605E7	36.72454967060305	28.698235995464437
8.59570805E7	37.24002211336169	26.87643183506151
9.11666005E7	44.41026198191004	31.3636527095047
9.63761205E7	43.579405780187045	28.895929127262303
1.015856405E8	45.52280171685683	42.980866359366644
1.067951605E8	37.22105337919808	29.087444799075513
1.120046805E8	37.65917762097084	31.002027468649196
1.172142005E8	36.917819300050674	32.605081710219
1.224237205E8	38.94156102673567	28.941670124955976
1.276332405E8	43.47230090296227	30.46534972049962
1.328427605E8	39.37759563261107	27.70935980415006
1.380522805E8	38.72388876518374	30.405345277774934
1.432618005E8	39.90461827577205	31.37687465846913
1.484713205E8	46.644028240605664	25.209976521963764
1.536808405E8	39.16139375604662	29.427590719654685
1.588903605E8	42.17457500882999	28.09131219128768
1.640998805E8	35.59675766673321	33.59901310121527
1.693094005E8	44.08035807521614	31.15398398021748
1.745189205E8	46.3720692117508	27.445291759388926
1.797284405E8	40.86814236244414	31.03649438370851
1.849379605E8	43.634172246195426	31.119822051691415
1.901474805E8	42.16969183341268	30.84594262024408
1.953570005E8	36.57057291266758	27.208032060962324
2.005665205E8	33.54981533807337	31.52443824982841
2.057760405E8	35.361445008369294	30.41126862608805
2.109855605E8	37.76367803559637	37.50430369659211
2.161950805E8	35.694556312289805	31.323982650359007
2.214046005E8	32.30614144873232	30.516010271642656
2.266141205E8	35.50106785270044	31.73537608826606
2.318236405E8	31.89805164391345	31.491024622731683
2.370331605E8	34.577816574271715	29.984010260935353
2.422426805E8	33.066891383467194	33.05609526090371
2.474522005E8	38.51549624533546	33.48415002010866
2.526617205E8	31.321746341313595	30.311610224336693
2.578712405E8	26.530777691610744	32.612103150669206
