#Position (bp)	mapping quality
2604760.5	39.266609024978564
7814280.5	39.297622072335145
1.30238005E7	39.896325341892556
1.82333205E7	35.17851781026991
2.34428405E7	35.31255571646503
2.86523605E7	37.03347212421711
3.38618805E7	37.00573751642297
3.90714005E7	36.76696406674192
4.42809205E7	35.954627801636114
4.94904405E7	35.552326888752596
5.46999605E7	38.51992832957175
5.99094805E7	33.526048807588076
6.51190005E7	35.32336148753336
7.03285205E7	38.70643079522077
7.55380405E7	37.246939841976165
8.07475605E7	35.51124249228805
8.59570805E7	37.70005743736271
9.11666005E7	39.45828808923634
9.63761205E7	37.87285155923601
1.015856405E8	36.864783492014865
1.067951605E8	35.672654049078
1.120046805E8	34.785417462434765
1.172142005E8	33.775451459499216
1.224237205E8	38.922978916007274
1.276332405E8	37.13019672055996
1.328427605E8	38.864516732149944
1.380522805E8	36.549418130777326
1.432618005E8	36.418698812505966
1.484713205E8	41.81433932511916
1.536808405E8	37.296650912761706
1.588903605E8	38.43787585916029
1.640998805E8	34.48265504505044
1.693094005E8	38.9305044624091
1.745189205E8	39.30420123881232
1.797284405E8	36.89298846582562
1.849379605E8	39.31845936828637
1.901474805E8	37.92339670499133
1.953570005E8	37.96321116877588
2.005665205E8	34.752783647209014
2.057760405E8	36.10213722026714
2.109855605E8	33.289720407349265
2.161950805E8	34.544702910578756
2.214046005E8	31.592915795526178
2.266141205E8	34.057134339330176
2.318236405E8	31.98734593350236
2.370331605E8	36.5637357274378
2.422426805E8	33.48418231529169
2.474522005E8	36.52610214718719
2.526617205E8	33.00816871161824
2.578712405E8	31.92451860599673
2.630807605E8	34.59383633605883
2.682902805E8	37.38798171579858
2.734998005E8	34.14758325581045
2.787093205E8	35.84754005693508
2.839188405E8	36.47386821780723
2.891283605E8	35.383188426608925
2.943378805E8	35.10895848370874
2.995474005E8	36.33075033013016
3.047569205E8	37.09282447285302
3.099664405E8	37.7458159630661
3.151759605E8	35.919855319646764
3.203854805E8	37.42761491767341
3.255950005E8	36.44002255582209
3.308045205E8	35.83853669542281
3.360140405E8	36.358269075659585
3.412235605E8	36.736247621111225
3.464330805E8	36.686914447299344
3.516426005E8	38.907823574410806
3.568521205E8	35.25310907619268
3.620616405E8	27.261568091878917
3.672711605E8	34.782980940300746
3.724806805E8	37.12711792093001
3.776902005E8	34.34566532405223
3.828997205E8	34.9304711542481
3.881092405E8	35.854804695655474
3.933187605E8	35.560333416515554
3.985282805E8	30.88398268500463
4.037378005E8	40.51005378642016
4.089473205E8	37.662560390975244
4.141568405E8	36.34780295229479
4.193663605E8	36.01276447134479
4.245758805E8	36.328695717397345
4.297854005E8	34.14857219021567
4.349949205E8	36.61609135654677
4.402044405E8	34.341917050283904
4.454139605E8	38.579997565116
4.506234805E8	37.489382099676384
4.558330005E8	37.49577002142184
4.610425205E8	40.5102650116035
4.64330184E8	38.506124932044024
4.66934944E8	40.467500185390534
4.714615605E8	43.79129844250443
4.766710805E8	40.15228388575998
4.818806005E8	38.72935413471185
4.870901205E8	37.91608088420322
4.922996405E8	39.583314660872524
4.975091605E8	35.77926070799425
5.027186805E8	33.359908043887565
5.079282005E8	31.93820959196747
5.131377205E8	25.42215835803867
