#Read position (bp)	Clipping profile
0.0	16.188201660470572
1.0	1.401352079699643
2.0	1.3303798659541373
3.0	1.2491782673641234
4.0	1.1627933573265616
5.0	1.0726123202087554
6.0	1.032755029216073
7.0	0.9902892561388111
8.0	0.9454363916820953
9.0	0.9040901241369127
10.0	0.8629634958540954
11.0	0.833198018047189
12.0	0.8032153613379854
13.0	0.7739267763741415
14.0	0.7453618291774948
15.0	0.7171374124947035
16.0	0.6932361403589832
17.0	0.6695714380989792
18.0	0.6460793780539352
19.0	0.6240100316436208
20.0	0.6023647428864284
21.0	0.582729318098901
22.0	0.5638019348977993
23.0	0.5453097435216537
24.0	0.5274143354156263
25.0	0.5099087484268557
26.0	0.4936961849065044
27.0	0.47775843109547306
28.0	0.46229189878904187
29.0	0.4473738182727437
30.0	0.8779466299586394
31.0	0.8586249636313431
32.0	0.8190411062143835
33.0	0.7928338511794258
34.0	0.7597142353831824
35.0	0.847907927081101
36.0	0.8103667106340378
37.0	0.7896838813747368
38.0	0.7555597297533329
39.0	0.7271956146598857
40.0	0.7353463288548535
41.0	0.7088198942273108
42.0	0.6848462708251762
43.0	0.6700608412474739
44.0	0.6462792927347364
45.0	0.6482109255944343
46.0	0.6278031562505618
47.0	0.612720732021907
48.0	0.5902421318198982
49.0	0.5716916424204402
50.0	0.5662928201113195
51.0	0.549364083306012
52.0	0.5301883705420878
53.0	0.5215914971544016
54.0	0.509549619258925
55.0	0.5034445485071575
56.0	0.4897352554027039
57.0	0.4778245689101895
58.0	0.4628024860547344
59.0	0.45315975113294443
60.0	0.44426688391874036
61.0	0.4322327207116134
62.0	0.4186564538549188
63.0	0.40751106444668955
64.0	0.39187530940878346
65.0	0.38401487600085293
66.0	0.37319717319290235
67.0	0.36600216293089266
68.0	0.3514204845276573
69.0	0.34055991307309347
70.0	0.3327012311079235
71.0	0.3219200583918339
72.0	0.30941692553508454
73.0	0.30009950025554116
74.0	0.28803401958381647
75.0	0.2749437363921316
76.0	0.25849105840952474
77.0	0.24412710102182186
78.0	0.22882703917967073
79.0	0.21394290329211094
80.0	0.2052213855613053
81.0	0.19680111598529892
82.0	0.19175912928811303
83.0	0.18906261635431104
84.0	0.1858046826137451
85.0	0.18582503271058093
86.0	0.18614871601312136
87.0	0.18703211038068335
88.0	0.1884648739607766
89.0	0.19075868016272687
90.0	0.19278976995060806
91.0	0.19639378044043745
92.0	0.19953261607329204
93.0	0.20372490282554576
94.0	0.2074608553366632
95.0	0.21207711634000279
96.0	0.2166526771496707
97.0	0.22196355201160545
98.0	0.22729602800091925
99.0	0.23294493131562297
100.0	0.2389188940664646
101.0	0.24495073783043766
102.0	0.2515744024433741
103.0	0.2581033640441913
104.0	0.2651860734644409
105.0	0.27238729717814836
106.0	0.28018889044953094
107.0	0.288167713047865
108.0	0.29676746380580044
109.0	0.3054953200913582
110.0	0.31461333110231776
111.0	0.3244423861730063
112.0	0.3345068851919225
113.0	0.3450196284544624
114.0	0.3558664802740692
115.0	0.3670737122921499
116.0	0.37904603288942534
117.0	0.3913434546238568
118.0	0.40410471678268367
119.0	0.41731601632891263
120.0	0.43087560277836484
121.0	0.44531950101777734
122.0	0.4602872474466401
123.0	0.4758175406097557
124.0	0.4918140928563167
125.0	0.5081162718645783
126.0	0.5257477125259934
127.0	0.5437108847864435
128.0	0.562265919596875
129.0	0.5812825012757061
130.0	0.6009666328523814
131.0	0.6226498278350323
132.0	0.64481466957681
133.0	0.6683513080102096
134.0	0.6921892362994267
135.0	0.7161312086288187
136.0	0.7445140891804137
137.0	0.7731734891830709
138.0	0.8024865526445432
139.0	0.8325837620504845
140.0	0.8624570369891955
141.0	0.9036305789173822
142.0	0.9451538672844256
143.0	0.9899900513338991
144.0	1.0325514031446605
145.0	1.0724585685549979
146.0	1.1623874396163159
147.0	1.2486721421073683
148.0	1.329701306987513
149.0	1.400221690201838
150.0	1.4373636194005341
